station,x,y,pointX,pointY,maleLifeExpectancy,femaleLifeExpectancy,sexGapYears,maleLower95,maleUpper95,femaleLower95,femaleUpper95,msoaCode,msoaName,lsoaCode,lsoaName,imdDecile,imdRank,imdScore,healthDeprivationDecile,group
Byker,0.4938893788585108,0.3991020204539786,294,112,69.7,75.2,5.5,67.6,71.7,72.9,77.5,E02007103,Newcastle upon Tyne 040,E01035622,Newcastle upon Tyne 040A,1,70,78.171,1,east
Gateshead,0.42333375330729495,0.5416384563303994,252,152,70.5,74.4,3.9,68.6,72.5,72.7,76.2,E02006841,Gateshead 027,E01035612,Gateshead 027F,1,1359,56.781,1,network
Gateshead Stadium,0.46365125362227544,0.5416384563303994,276,152,70.5,74.4,3.9,68.6,72.5,72.7,76.2,E02006841,Gateshead 027,E01008162,Gateshead 027A,4,11691,24.104,2,network
Chichester,0.8248288606106422,0.5416384563303994,491,152,71.5,77.3,5.8,69.7,73.2,75.3,79.3,E02001769,South Tyneside 002,E01008664,South Tyneside 002A,1,515,65.985,1,network
South Shields,0.8735458401579103,0.5416384563303994,520,152,71.5,77.3,5.8,69.7,73.2,75.3,79.3,E02001769,South Tyneside 002,E01008667,South Tyneside 002D,1,2508,49.122,1,river
Park Lane,0.8601066733862501,0.8516552043616149,512,239,71.6,80.1,8.5,69.7,73.5,77.9,82.3,E02001803,Sunderland 013,E01008831,Sunderland 013D,2,4616,39.86,1,sunderland
Stadium Of Light,0.8735458401579103,0.6948651248975519,520,195,71.6,77.3,5.7,69.6,73.7,75.6,79.1,E02001795,Sunderland 005,E01008711,Sunderland 005D,3,8732,29.105,2,sunderland
Sunderland,0.8735458401579103,0.8017674518048676,520,225,71.6,80.1,8.5,69.7,73.5,77.9,82.3,E02001803,Sunderland 013,E01008703,Sunderland 013B,1,2769,47.808,1,sunderland
University,0.8164293813783545,0.8516552043616149,486,239,71.6,80.1,8.5,69.7,73.5,77.9,82.3,E02001803,Sunderland 013,E01008831,Sunderland 013D,2,4616,39.86,1,sunderland
Meadow Well,0.808029902146067,0.3991020204539786,481,112,72.4,78.3,5.9,70.5,74.4,76.5,80.1,E02001764,North Tyneside 027,E01008541,North Tyneside 027C,2,4036,42.077,1,river
